Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2011,Number,4213.30301,101
Greenwich Village,2011,Number,6219.697,102
Lower East Side,2011,Number,45637,103
Chelsea/Clinton,2011,Number,12252.0048,104
Midtown Business District,2011,Number,6131.9952,105
Murray Hill/Stuyvesant,2011,Number,15754,106
Upper West Side,2011,Number,21950,107
Upper East Side,2011,Number,13657,108
Manhattanville,2011,Number,37669,109
Central Harlem,2011,Number,32555,110
East Harlem,2011,Number,35255,111
Washington Heights,2011,Number,53278,112
Mott Haven,2011,Number,36723.43294,201
Hunts Point,2011,Number,20969.56706,202
Morrisania,2011,Number,35195.47786,203
Concourse/Highbridge,2011,Number,57290,204
University Heights,2011,Number,52920,205
East Tremont,2011,Number,36742.52214,206
Bedford Park,2011,Number,36940,207
Riverdale,2011,Number,18499,208
Unionport/Soundview,2011,Number,50342,209
Throgs Neck,2011,Number,15093,210
Pelham Parkway,2011,Number,24756,211
Williamsbridge,2011,Number,26668,212
Williamsburg/Greenpoint,2011,Number,45605,301
Fort Greene/Brooklyn Hts,2011,Number,22066,302
Bedford Stuyvesant,2011,Number,42261,303
Bushwick,2011,Number,44391,304
East New York,2011,Number,49639,305
Park Slope,2011,Number,11511,306
Sunset Park,2011,Number,35015,307
Crown Heights North,2011,Number,33845,308
Crown Heights South,2011,Number,24406,309
Bay Ridge,2011,Number,19702,310
Bensonhurst,2011,Number,32628,311
Borough Park,2011,Number,49384,312
Coney Island,2011,Number,26672,313
Flatbush/Midwood,2011,Number,35727,314
Sheepshead Bay,2011,Number,21371,315
Brownsville,2011,Number,47672,316
East Flatbush,2011,Number,23017,317
Canarsie,2011,Number,27877,318
Astoria,2011,Number,35027,401
Sunnyside/Woodside,2011,Number,19877,402
Jackson Heights,2011,Number,39123,403
Elmhurst/Corona,2011,Number,32119,404
Ridgewood/Glendale,2011,Number,26154,405
Rego Park/Forest Hills,2011,Number,7924,406
Flushing,2011,Number,32858,407
Fresh Meadows/Briarwood,2011,Number,21683,408
Woodhaven,2011,Number,27531,409
Howard Beach,2011,Number,18983,410
Bayside,2011,Number,12793,411
Jamaica/St. Albans,2011,Number,37819,412
Queens Village,2011,Number,17750,413
The Rockaways,2011,Number,21582,414
St. George,2011,Number,35706,501
South Beach,2011,Number,9542,502
Tottenville,2011,Number,9117,503
Bronx,2011,Number,412139,36005
Brooklyn,2011,Number,592789,36047
Manhattan,2011,Number,284572,36061
Queens,2011,Number,351223,36081
Staten Island,2011,Number,54365,36085
New York City,2011,Number,1695088,3651000
Battery Park/Tribeca,2010,Number,5697.02535,101
Greenwich Village,2010,Number,8409.97465,102
Lower East Side,2010,Number,34766,103
Chelsea/Clinton,2010,Number,10222.00009,104
Midtown Business District,2010,Number,5115.99991,105
Murray Hill/Stuyvesant,2010,Number,10049,106
Upper West Side,2010,Number,20430,107
Upper East Side,2010,Number,14637,108
Manhattanville,2010,Number,35636,109
Central Harlem,2010,Number,35192,110
East Harlem,2010,Number,34595,111
Washington Heights,2010,Number,39539,112
Mott Haven,2010,Number,37316.04411,201
Hunts Point,2010,Number,21307.95589,202
Morrisania,2010,Number,33250.71954,203
Concourse/Highbridge,2010,Number,50740,204
University Heights,2010,Number,53621,205
East Tremont,2010,Number,34712.28046,206
Bedford Park,2010,Number,39950,207
Riverdale,2010,Number,19264,208
Unionport/Soundview,2010,Number,46261,209
Throgs Neck,2010,Number,17557,210
Pelham Parkway,2010,Number,25553,211
Williamsbridge,2010,Number,29051,212
Williamsburg/Greenpoint,2010,Number,38744,301
Fort Greene/Brooklyn Hts,2010,Number,22024,302
Bedford Stuyvesant,2010,Number,40795,303
Bushwick,2010,Number,39782,304
East New York,2010,Number,52475,305
Park Slope,2010,Number,13398,306
Sunset Park,2010,Number,36862,307
Crown Heights North,2010,Number,30383,308
Crown Heights South,2010,Number,27015,309
Bay Ridge,2010,Number,21051,310
Bensonhurst,2010,Number,22838,311
Borough Park,2010,Number,54099,312
Coney Island,2010,Number,28735,313
Flatbush/Midwood,2010,Number,36246,314
Sheepshead Bay,2010,Number,18319,315
Brownsville,2010,Number,44756,316
East Flatbush,2010,Number,21316,317
Canarsie,2010,Number,23098,318
Astoria,2010,Number,31618,401
Sunnyside/Woodside,2010,Number,15093,402
Jackson Heights,2010,Number,37935,403
Elmhurst/Corona,2010,Number,25920,404
Ridgewood/Glendale,2010,Number,30888,405
Rego Park/Forest Hills,2010,Number,11049,406
Flushing,2010,Number,36302,407
Fresh Meadows/Briarwood,2010,Number,18566,408
Woodhaven,2010,Number,17662,409
Howard Beach,2010,Number,15635,410
Bayside,2010,Number,8693,411
Jamaica/St. Albans,2010,Number,41273,412
Queens Village,2010,Number,14557,413
The Rockaways,2010,Number,26974,414
St. George,2010,Number,30277,501
South Beach,2010,Number,12643,502
Tottenville,2010,Number,11433,503
Bronx,2010,Number,408584,36005
Brooklyn,2010,Number,571936,36047
Manhattan,2010,Number,254289,36061
Queens,2010,Number,332165,36081
Staten Island,2010,Number,54353,36085
New York City,2010,Number,1621327,3651000
Battery Park/Tribeca,2009,Number,4225.82217,101
Greenwich Village,2009,Number,6238.17784,102
Lower East Side,2009,Number,40624,103
Chelsea/Clinton,2009,Number,11794.82055,104
Midtown Business District,2009,Number,5903.17945,105
Murray Hill/Stuyvesant,2009,Number,10457,106
Upper West Side,2009,Number,18527,107
Upper East Side,2009,Number,13625,108
Manhattanville,2009,Number,31925,109
Central Harlem,2009,Number,32896,110
East Harlem,2009,Number,33403,111
Washington Heights,2009,Number,53182,112
Mott Haven,2009,Number,36443.99545,201
Hunts Point,2009,Number,20810.00455,202
Morrisania,2009,Number,27735.92309,203
Concourse/Highbridge,2009,Number,42163,204
University Heights,2009,Number,61260,205
East Tremont,2009,Number,28955.07691,206
Bedford Park,2009,Number,44919,207
Riverdale,2009,Number,13331,208
Unionport/Soundview,2009,Number,50583,209
Throgs Neck,2009,Number,15305,210
Pelham Parkway,2009,Number,21465,211
Williamsbridge,2009,Number,23858,212
Williamsburg/Greenpoint,2009,Number,44180,301
Fort Greene/Brooklyn Hts,2009,Number,19948,302
Bedford Stuyvesant,2009,Number,45307,303
Bushwick,2009,Number,44887,304
East New York,2009,Number,47573,305
Park Slope,2009,Number,9982,306
Sunset Park,2009,Number,42133,307
Crown Heights North,2009,Number,31004,308
Crown Heights South,2009,Number,21342,309
Bay Ridge,2009,Number,20030,310
Bensonhurst,2009,Number,23456,311
Borough Park,2009,Number,44824,312
Coney Island,2009,Number,22153,313
Flatbush/Midwood,2009,Number,40617,314
Sheepshead Bay,2009,Number,17751,315
Brownsville,2009,Number,41669,316
East Flatbush,2009,Number,17507,317
Canarsie,2009,Number,19819,318
Astoria,2009,Number,28071,401
Sunnyside/Woodside,2009,Number,13250,402
Jackson Heights,2009,Number,30114,403
Elmhurst/Corona,2009,Number,32651,404
Ridgewood/Glendale,2009,Number,22714,405
Rego Park/Forest Hills,2009,Number,11894,406
Flushing,2009,Number,30009,407
Fresh Meadows/Briarwood,2009,Number,20379,408
Woodhaven,2009,Number,16848,409
Howard Beach,2009,Number,10073,410
Bayside,2009,Number,9267,411
Jamaica/St. Albans,2009,Number,27806,412
Queens Village,2009,Number,12349,413
The Rockaways,2009,Number,22667,414
St. George,2009,Number,30543,501
South Beach,2009,Number,16600,502
Tottenville,2009,Number,6999,503
Bronx,2009,Number,386829,36005
Brooklyn,2009,Number,554182,36047
Manhattan,2009,Number,262801,36061
Queens,2009,Number,288092,36081
Staten Island,2009,Number,54142,36085
New York City,2009,Number,1546046,3651000
Battery Park/Tribeca,2008,Number,5036.74064,101
Greenwich Village,2008,Number,7435.25936,102
Lower East Side,2008,Number,45178,103
Chelsea/Clinton,2008,Number,13367.64101,104
Midtown Business District,2008,Number,6690.35899,105
Murray Hill/Stuyvesant,2008,Number,9173,106
Upper West Side,2008,Number,20156,107
Upper East Side,2008,Number,12510,108
Manhattanville,2008,Number,31947,109
Central Harlem,2008,Number,34776,110
East Harlem,2008,Number,33902,111
Washington Heights,2008,Number,48463,112
Mott Haven,2008,Number,39079.87391,201
Hunts Point,2008,Number,22315.12609,202
Morrisania,2008,Number,31075.03645,203
Concourse/Highbridge,2008,Number,51027,204
University Heights,2008,Number,43204,205
East Tremont,2008,Number,32440.96355,206
Bedford Park,2008,Number,36902,207
Riverdale,2008,Number,16827,208
Unionport/Soundview,2008,Number,39014,209
Throgs Neck,2008,Number,10479,210
Pelham Parkway,2008,Number,25535,211
Williamsbridge,2008,Number,24072,212
Williamsburg/Greenpoint,2008,Number,46029,301
Fort Greene/Brooklyn Hts,2008,Number,23213,302
Bedford Stuyvesant,2008,Number,39732,303
Bushwick,2008,Number,34217,304
East New York,2008,Number,43629,305
Park Slope,2008,Number,12824,306
Sunset Park,2008,Number,33247,307
Crown Heights North,2008,Number,31751,308
Crown Heights South,2008,Number,20929,309
Bay Ridge,2008,Number,14704,310
Bensonhurst,2008,Number,30893,311
Borough Park,2008,Number,47704,312
Coney Island,2008,Number,19935,313
Flatbush/Midwood,2008,Number,36948,314
Sheepshead Bay,2008,Number,17741,315
Brownsville,2008,Number,36519,316
East Flatbush,2008,Number,20343,317
Canarsie,2008,Number,26116,318
Astoria,2008,Number,29256,401
Sunnyside/Woodside,2008,Number,14982,402
Jackson Heights,2008,Number,33930,403
Elmhurst/Corona,2008,Number,25461,404
Ridgewood/Glendale,2008,Number,19112,405
Rego Park/Forest Hills,2008,Number,7834,406
Flushing,2008,Number,31674,407
Fresh Meadows/Briarwood,2008,Number,11267,408
Woodhaven,2008,Number,18439,409
Howard Beach,2008,Number,16540,410
Bayside,2008,Number,8133,411
Jamaica/St. Albans,2008,Number,27627,412
Queens Village,2008,Number,14143,413
The Rockaways,2008,Number,17254,414
St. George,2008,Number,33101,501
South Beach,2008,Number,10961,502
Tottenville,2008,Number,3690,503
Bronx,2008,Number,371971,36005
Brooklyn,2008,Number,536474,36047
Manhattan,2008,Number,268635,36061
Queens,2008,Number,275652,36081
Staten Island,2008,Number,47752,36085
New York City,2008,Number,1500484,3651000
Battery Park/Tribeca,2007,Number,4555.7626,101
Greenwich Village,2007,Number,6725.2374,102
Lower East Side,2007,Number,45701,103
Chelsea/Clinton,2007,Number,12825.15124,104
Midtown Business District,2007,Number,6418.84876,105
Murray Hill/Stuyvesant,2007,Number,13698,106
Upper West Side,2007,Number,20979,107
Upper East Side,2007,Number,10086,108
Manhattanville,2007,Number,29949,109
Central Harlem,2007,Number,36727,110
East Harlem,2007,Number,32615,111
Washington Heights,2007,Number,59242,112
Mott Haven,2007,Number,35534.39141,201
Hunts Point,2007,Number,20290.60859,202
Morrisania,2007,Number,30052.50943,203
Concourse/Highbridge,2007,Number,50355,204
University Heights,2007,Number,48540,205
East Tremont,2007,Number,31373.49057,206
Bedford Park,2007,Number,35576,207
Riverdale,2007,Number,16610,208
Unionport/Soundview,2007,Number,39674,209
Throgs Neck,2007,Number,9889,210
Pelham Parkway,2007,Number,25091,211
Williamsbridge,2007,Number,19076,212
Williamsburg/Greenpoint,2007,Number,36739,301
Fort Greene/Brooklyn Hts,2007,Number,24677,302
Bedford Stuyvesant,2007,Number,46208,303
Bushwick,2007,Number,41026,304
East New York,2007,Number,43512,305
Park Slope,2007,Number,12541,306
Sunset Park,2007,Number,34911,307
Crown Heights North,2007,Number,33945,308
Crown Heights South,2007,Number,23212,309
Bay Ridge,2007,Number,17783,310
Bensonhurst,2007,Number,26645,311
Borough Park,2007,Number,47692,312
Coney Island,2007,Number,25510,313
Flatbush/Midwood,2007,Number,33384,314
Sheepshead Bay,2007,Number,23419,315
Brownsville,2007,Number,42491,316
East Flatbush,2007,Number,18084,317
Canarsie,2007,Number,18390,318
Astoria,2007,Number,29216,401
Sunnyside/Woodside,2007,Number,17836,402
Jackson Heights,2007,Number,27922,403
Elmhurst/Corona,2007,Number,19926,404
Ridgewood/Glendale,2007,Number,21700,405
Rego Park/Forest Hills,2007,Number,7134,406
Flushing,2007,Number,26398,407
Fresh Meadows/Briarwood,2007,Number,18604,408
Woodhaven,2007,Number,17261,409
Howard Beach,2007,Number,14314,410
Bayside,2007,Number,6577,411
Jamaica/St. Albans,2007,Number,34239,412
Queens Village,2007,Number,9740,413
The Rockaways,2007,Number,19199,414
St. George,2007,Number,28338,501
South Beach,2007,Number,10057,502
Tottenville,2007,Number,7482,503
Bronx,2007,Number,362062,36005
Brooklyn,2007,Number,550169,36047
Manhattan,2007,Number,279522,36061
Queens,2007,Number,270066,36081
Staten Island,2007,Number,45877,36085
New York City,2007,Number,1507696,3651000
Battery Park/Tribeca,2006,Number,6612.13554,101
Greenwich Village,2006,Number,9760.86446,102
Lower East Side,2006,Number,43661,103
Chelsea/Clinton,2006,Number,11604.88249,104
Midtown Business District,2006,Number,5808.11751,105
Murray Hill/Stuyvesant,2006,Number,9790,106
Upper West Side,2006,Number,19161,107
Upper East Side,2006,Number,10216,108
Manhattanville,2006,Number,30556,109
Central Harlem,2006,Number,33504,110
East Harlem,2006,Number,48736,111
Washington Heights,2006,Number,57390,112
Mott Haven,2006,Number,33838.67052,201
Hunts Point,2006,Number,19322.32948,202
Morrisania,2006,Number,32481.62266,203
Concourse/Highbridge,2006,Number,51579,204
