Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2005,Number,51150.45963,101
Battery Park/Tribeca,2006,Number,59445.0087,101
Battery Park/Tribeca,2007,Number,56375.39151,101
Battery Park/Tribeca,2008,Number,61639.90009,101
Battery Park/Tribeca,2009,Number,56591.85182,101
Battery Park/Tribeca,2010,Number,58534.74464,101
Battery Park/Tribeca,2011,Number,59159.49109,101
Battery Park/Tribeca,2012,Number,59742.64163,101
Battery Park/Tribeca,2013,Number,64506.78766,101
Battery Park/Tribeca,2014,Number,64575.84496,101
Battery Park/Tribeca,2015,Number,61934.008,101
Battery Park/Tribeca,2016,Number,61736.452,101
Greenwich Village,2005,Number,75508.54037,102
Greenwich Village,2006,Number,87752.9913,102
Greenwich Village,2007,Number,83221.60849,102
Greenwich Village,2008,Number,90993.09991,102
Greenwich Village,2009,Number,83541.14818,102
Greenwich Village,2010,Number,86409.25536,102
Greenwich Village,2011,Number,87331.50891,102
Greenwich Village,2012,Number,88192.35837,102
Greenwich Village,2013,Number,95225.21234,102
Greenwich Village,2014,Number,95327.15504,102
Greenwich Village,2015,Number,91367.992,102
Greenwich Village,2016,Number,91076.548,102
Lower East Side,2005,Number,145556,103
Lower East Side,2006,Number,178669,103
Lower East Side,2007,Number,172403,103
Lower East Side,2008,Number,168794,103
Lower East Side,2009,Number,162014,103
Lower East Side,2010,Number,159009,103
Lower East Side,2011,Number,165774,103
Lower East Side,2012,Number,167050,103
Lower East Side,2013,Number,163820,103
Lower East Side,2014,Number,152453,103
Lower East Side,2015,Number,164036,103
Lower East Side,2016,Number,159296,103
Chelsea/Clinton,2005,Number,88754.39184,104
Chelsea/Clinton,2006,Number,87597.43577,104
Chelsea/Clinton,2007,Number,88750.39314,104
Chelsea/Clinton,2008,Number,96738.45502,104
Chelsea/Clinton,2009,Number,98282.61816,104
Chelsea/Clinton,2010,Number,89618.11019,104
Chelsea/Clinton,2011,Number,95336.24559,104
Chelsea/Clinton,2012,Number,94014.67654,104
Chelsea/Clinton,2013,Number,97965.38827,104
Chelsea/Clinton,2014,Number,99598.85562,104
Chelsea/Clinton,2015,Number,106297.596,104
Chelsea/Clinton,2016,Number,93404.502,104
Midtown Business District,2005,Number,44420.60816,105
Midtown Business District,2006,Number,43841.56423,105
Midtown Business District,2007,Number,44418.60686,105
Midtown Business District,2008,Number,48416.54498,105
Midtown Business District,2009,Number,49189.38184,105
Midtown Business District,2010,Number,44852.88981,105
Midtown Business District,2011,Number,47714.75441,105
Midtown Business District,2012,Number,47053.32346,105
Midtown Business District,2013,Number,49030.61173,105
Midtown Business District,2014,Number,49848.14438,105
Midtown Business District,2015,Number,53308.404,105
Midtown Business District,2016,Number,46842.498,105
Murray Hill/Stuyvesant,2005,Number,146269,106
Murray Hill/Stuyvesant,2006,Number,138971,106
Murray Hill/Stuyvesant,2007,Number,144403,106
Murray Hill/Stuyvesant,2008,Number,149132,106
Murray Hill/Stuyvesant,2009,Number,155527,106
Murray Hill/Stuyvesant,2010,Number,145044,106
Murray Hill/Stuyvesant,2011,Number,147757,106
Murray Hill/Stuyvesant,2012,Number,141157,106
Murray Hill/Stuyvesant,2013,Number,147069,106
Murray Hill/Stuyvesant,2014,Number,143349,106
Murray Hill/Stuyvesant,2015,Number,140575,106
Murray Hill/Stuyvesant,2016,Number,141162,106
Upper West Side,2005,Number,208708,107
Upper West Side,2006,Number,216812,107
Upper West Side,2007,Number,214490,107
Upper West Side,2008,Number,207754,107
Upper West Side,2009,Number,213137,107
Upper West Side,2010,Number,199843,107
Upper West Side,2011,Number,193671,107
Upper West Side,2012,Number,198568,107
Upper West Side,2013,Number,179877,107
Upper West Side,2014,Number,192374,107
Upper West Side,2015,Number,189827,107
Upper West Side,2016,Number,189492,107
Upper East Side,2005,Number,211724,108
Upper East Side,2006,Number,214459,108
Upper East Side,2007,Number,218253,108
Upper East Side,2008,Number,232241,108
Upper East Side,2009,Number,234133,108
Upper East Side,2010,Number,218842,108
Upper East Side,2011,Number,209534,108
Upper East Side,2012,Number,220861,108
Upper East Side,2013,Number,217537,108
Upper East Side,2014,Number,221898,108
Upper East Side,2015,Number,214571,108
Upper East Side,2016,Number,219004,108
Manhattanville,2005,Number,114405,109
Manhattanville,2006,Number,122736,109
Manhattanville,2007,Number,130456,109
Manhattanville,2008,Number,123363,109
Manhattanville,2009,Number,132851,109
